entry,language,meaning_1,meaning_2,mark,split
алатлы,Nogai,имеющий инструменты,имеющий детали,0,val
ağaclaşmaq,Azeri,деревенеть одеревенеть,становиться стать крепким и су,1,val
машиха́б,Botlih,привязной,перевязочный,0,val
մղորդ,Armenian,Толкач выталкиватель толкатель,Толкающий двигающий,0,val
бе́ди,Botlih,звать позвать,призвать,0,val
ἡμίσεα,Ancient greek,наполовину,половина,0,val
ubu-hlobo,Zulu,родство,связь,1,val
ма́ши,Botlih,завязать обвязывать закрепить,перевязать мед,0,val
gumburas,Lithuanian,желвак,бугорок,0,val
vædder,Danish,баран,таран,1,val
nuovala,Lithuanian,плацента,расчистка (геолог.),0,val
